,state,year,total_votes,dem_votes,rep_votes,other_votes,green_votes,unemployment_rate,median_income,med_age,bach_per,total_pop,dem_votes_per,rep_votes_per,other_votes_per,green_votes_per,voter_participation
56,COLORADO,2004,2129630,1001732.0,1101255.0,26643.0,,5.6,80310.0,43.0,0.343619327524823,4575013,0.47037842254288303,0.5171109535459211,0.012510623911195841,,0.4654915734665672
57,CONNECTICUT,2004,1578769,857488.0,693826.0,27455.0,,5.0,86960.0,45.0,0.2910341554472263,3496094,0.543137089719902,0.4394727791082799,0.017390131171818042,,0.45158082133947197
58,DELAWARE,2004,375170,200141.0,171651.0,3378.0,,4.0,75830.0,45.0,0.2666617325981571,830803,0.5334674947357199,0.4575285870405416,0.009003918223738572,,0.4515751628244
59,DISTRICT OF COLUMBIA,2004,227586,202970.0,21256.0,3360.0,,7.5,68580.0,40.0,0.3448997600037513,567754,0.8918386895503239,0.09339766066454,0.014763649785136168,,0.4008531864152432
60,FLORIDA,2004,7609810,3583544.0,3964522.0,61744.0,,4.6,63980.0,46.0,0.26484764408386685,17415318,0.4709111002771423,0.5209751623233695,0.008113737399488292,,0.43696072618369647
61,GEORGIA,2004,3298790,1366149.0,1914254.0,18387.0,,4.8,64680.0,42.0,0.28679171081405047,8769252,0.4141363954662164,0.5802897426025907,0.005573861931192953,,0.3761768962734792
62,HAWAII,2004,428555,231335.0,194116.0,3104.0,,3.3,88770.0,45.0,0.2978637953378714,1273569,0.5398023590904318,0.4529546965967029,0.007242944312865327,,0.33649923953865085
63,IDAHO,2004,598376,181098.0,409235.0,8043.0,,4.9,70010.0,44.0,0.2709837449650095,1391802,0.3026491704212736,0.6839094482399026,0.013441381338823749,,0.42992896978162126
64,ILLINOIS,2004,5275415,2891989.0,2346608.0,36818.0,,6.2,72720.0,44.0,0.28837434524820066,12589773,0.5482012315618772,0.4448196018701846,0.006979166567938257,,0.419023837840444
65,INDIANA,2004,2468002,969011.0,1479438.0,19553.0,,5.4,66810.0,45.0,0.21431219693842032,6233007,0.39262974665336575,0.5994476503665718,0.007922602980062416,,0.3959568792398276
66,IOWA,2004,1506908,741898.0,751957.0,13053.0,,4.5,,45.0,0.25186996774937376,2953635,0.4923313168421695,0.4990065750530225,0.00866210810480799,,0.5101876162762156
67,KANSAS,2004,1187756,434993.0,736456.0,16307.0,,5.5,64810.0,45.0,0.2945341770953565,2734373,0.3662309430556444,0.620039806155473,0.013729250788882565,,0.4343796548605476
68,KENTUCKY,2004,1795860,712733.0,1069439.0,13688.0,,5.5,56200.0,44.0,0.19252408665493276,4146101,0.3968755916385464,0.5955024333745392,0.007621974986914347,,0.4331442962918655
69,LOUISIANA,2004,1943106,820299.0,1102169.0,20638.0,,5.7,57500.0,44.0,0.2460370990759327,4552238,0.4221586470321228,0.5672202134108999,0.010621139556977334,,0.4268463116383634
70,MAINE,2004,686510,364153.0,308997.0,13360.0,,4.7,65230.0,46.0,0.2582383658773563,1313688,0.5304409258423038,0.4500983234038834,0.019460750753812765,,0.5225822265256286
71,MARYLAND,2004,2386678,1334493.0,1024703.0,27482.0,,4.3,90120.0,44.0,0.29639253726366044,5546935,0.5591424565861,0.4293427936236057,0.011514749790294291,,0.4302696894771617
72,MASSACHUSETTS,2004,2912388,1803800.0,1071109.0,37479.0,,5.1,82100.0,44.0,0.3117554085122672,6412281,0.619354289332328,0.36777688961772953,0.012868821049942521,,0.45418907873812764
73,MICHIGAN,2004,4839252,2479183.0,2313746.0,46323.0,,7.0,66690.0,45.0,0.24452725283026275,10055315,0.5123070672905647,0.4781205855781017,0.00957234713133352,,0.4812630931999644
74,MINNESOTA,2004,2827850,1444751.0,1346451.0,36648.0,,4.6,88550.0,44.0,0.32113223883142356,5087713,0.5109008610782043,0.4761394699153067,0.012959669006489028,,0.5558194811696335
75,MISSISSIPPI,2004,1114859,440034.0,666295.0,8530.0,,6.2,54850.0,44.0,0.22476945037948606,2889010,0.39469923999357764,0.5976495682413651,0.007651191765057286,,0.38589655279836343
76,MISSOURI,2004,2731364,1259171.0,1455713.0,16480.0,,5.9,66500.0,45.0,0.24571852299050456,5747741,0.46100446516831883,0.5329619193926551,0.006033615439026069,,0.4752065202659619
77,MONTANA,2004,450434,173710.0,266063.0,10661.0,,4.5,53590.0,47.0,0.3056161051249442,930009,0.3856502839483698,0.5906814316858852,0.023668284365745036,,0.4843329473155636
78,NEBRASKA,2004,778186,254328.0,512814.0,11044.0,,3.9,,45.0,0.2793094062844652,1749370,0.3268216082016382,0.6589864119889075,0.014191979809454296,,0.4448378559138433
79,NEVADA,2004,829587,397190.0,418690.0,13707.0,,4.4,74500.0,44.0,0.21004840743323794,2346222,0.4787804051895702,0.504696915453111,0.016522679357318763,,0.35358418768556427
80,NEW HAMPSHIRE,2004,677662,340511.0,331237.0,5914.0,,3.8,89670.0,45.0,0.3000092697178916,1290121,0.5024791120056902,0.4887938234695173,0.008727064524792596,,0.5252701103229852
81,NEW JERSEY,2004,3609691,1911430.0,1668003.0,30258.0,,4.9,87240.0,45.0,0.31232436613624875,8634561,0.5295273196514605,0.46209024539773624,0.008382434950803269,,0.4180514793977366
82,NEW MEXICO,2004,756304,370942.0,376930.0,8432.0,,5.6,62440.0,45.0,0.24537453254259056,1903808,0.490466796420487,0.498384247604138,0.01114895597537498,,0.39725854708037783
83,NEW YORK,2004,7391036,4180755.0,2806993.0,403288.0,,5.8,70470.0,44.0,0.2669059295010706,19171567,0.5656520953219548,0.37978342954898336,0.05456447512906174,,0.3855207036545317
84,NORTH CAROLINA,2004,3501007,1525849.0,1961166.0,13992.0,,5.5,63510.0,44.0,0.2805806365370827,8553152,0.435831462205017,0.5601719733779452,0.003996564417037727,,0.40932360374280735
